Peter Sarsgaard,07 March 1971,False,474,Maggie Gyllenhaal,16 November 1977,False,-1,02 May 2009,None,2,False
Kate Winslet,05 October 1975,False,451,Sam Mendes,01 August 1965,False,-1,24 May 2003,03 October 2010,1,True
Christina Ricci,12 February 1980,False,401,James Heerdegen,None,False,-1,26 October 2013,None,1,False
Donnie Yen,27 July 1963,False,360,Cecilia Wang Shi-Shi,None,True,-1,01 January 2003,None,2,False
Monica Bellucci,30 September 1964,False,247,Claudio Carlos Basso,None,True,-1,03 January 1990,25 June 1994,0,True
M. Night Shyamalan,06 August 1970,False,224,Bhavna Vaswani,None,True,-1,07 March 1993,None,3,False
Timothy Olyphant,20 May 1968,False,341,Alexis Knief,None,True,-1,01 January 1991,None,3,False
Jessica Alba,28 April 1981,False,489,Cash Warren,10 January 1979,False,-1,19 May 2008,None,2,False
Lyndsy Fonseca,07 January 1987,False,90,Noah Bean,20 August 1978,False,-1,02 October 2016,None,0,False
Mandy Moore,10 April 1984,False,31,Ryan Adams,05 November 1974,False,-1,10 March 2009,23 June 2016,0,True
Isla Fisher,03 February 1976,False,110,Sacha Baron Cohen,13 October 1971,False,-1,15 March 2010,None,3,False
Debbie Reynolds,01 April 1932,False,79,Richard Hamlett,None,True,-1,25 May 1984,01 January 1996,0,True
Kirstie Alley,12 January 1951,False,102,Robert Alley,None,True,-1,01 January 1970,25 December 1977,0,True
Jenny Slate,25 March 1982,False,218,Dean Fleischer-Camp,None,False,-1,15 September 2012,None,0,False
Lara Pulver,01 September 1980,False,104,Raza Jaffrey,28 May 1975,False,-1,27 December 2014,None,0,False
Olga Kurylenko,14 November 1979,False,443,Cedric Van Mol,None,False,-1,01 January 2000,01 January 2004,0,True
Jon Bernthal,20 September 1976,False,476,Erin Angle,None,True,-1,25 September 2010,None,3,False
Isabelle Huppert,16 March 1953,False,72,Ronald Chammah,02 January 1951,False,-1,01 January 1982,None,3,False
Jason Momoa,01 August 1979,False,98,Lisa Bonet,16 November 1967,False,-1,15 November 2007,None,2,False
Kevin Costner,18 January 1955,False,395,Christine Baumgartner,04 March 1974,False,-1,25 September 2004,None,3,False
Rita Moreno,11 December 1931,False,144,Lenny Gordon,None,True,-1,18 June 1965,None,1,False
Dianna Agron,30 April 1986,False,467,'Country' Winston Marshall,None,False,-1,15 October 2016,None,0,False
Jennifer Love Hewitt,21 February 1979,False,493,Brian Hallisay,31 October 1978,False,-1,21 November 2013,None,2,False
Joseph Gordon-Levitt,17 February 1981,False,384,Tasha McCauley,None,True,-1,20 December 2014,None,1,False
Aaron Paul,27 August 1979,False,486,Lauren Parsekian,None,False,-1,26 May 2013,None,0,False
Robert Downey Jr.,04 April 1965,False,238,Deborah Falconer,13 August 1965,False,-1,29 May 1992,26 April 2004,1,True
Chris Hemsworth,11 August 1983,False,213,Elsa Pataky,18 July 1976,False,286,26 December 2010,None,3,False
Orlando Bloom,13 January 1977,False,265,Miranda Kerr,20 April 1983,False,-1,22 July 2010,None,1,False
Tia Carrere,02 January 1967,False,142,Elie Samaha,10 May 1955,False,-1,22 November 1992,01 January 2000,0,True
Ana de Armas,30 April 1988,False,41,Marc Clotet,29 April 1980,False,-1,01 July 2011,01 January 2013,0,True
Elvis Presley,08 January 1935,False,497,Priscilla Presley,24 May 1945,False,-1,01 May 1967,09 October 1973,1,True
Samuel L. Jackson,21 December 1948,False,483,LaTanya Richardson Jackson,21 October 1949,False,-1,14 January 1980,None,1,False
